STUDENT ID,Age,Gender,Graduated High-School Type,Scholarship,Additional Work,Artistic/Sports Activity,Do you have a partner?,Total Salary,Transportation to University,Accommodation,Mother's education,Father's education,Siblings,Parental status,Mother's occupation,Father's occupation,Weekly Study Hours,Reading frequency (non-scientific),Reading frequency (scientific),Attendance in seminars/conferences,Success Impact of projects/activities,Class Attendance,Midterm 1 Preparation,Midterm 2 Preparation,Note-taking,Listening in classes,Discussion improves course interest/success,CGPA,Expected graduation CGPA,COURSE ID,GRADE
STUDENT1,22-25,Male,Other,50%,Yes,No,No,USD 135-200,Bus,Rental,Primary school,Secondary school,3,Married,Housewife,Other,6-10 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest to exam date,Always,Sometimes,Never,<2.00,<2.00,1,DD
STUDENT2,22-25,Male,Other,50%,Yes,No,No,USD 135-200,Bus,Rental,Secondary school,High school,2,Married,Housewife,Retired,<5 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest to exam date,Always,Sometimes,Always,2.00-2.49,2.50-2.99,1,DD
STUDENT3,22-25,Male,State,50%,No,No,No,USD 201-270,Other,Dormitory,Secondary school,Secondary school,2,Married,Housewife,Retired,<5 hours,None,Sometimes,Yes,Positive,Always,Alone,Closest to exam date,Sometimes,Sometimes,Never,2.00-2.49,2.00-2.49,1,DD
STUDENT4,18-21,Female,Private,50%,Yes,No,Yes,USD 201-270,Bus,Dormitory,Primary school,Secondary school,5,Married,Housewife,Retired,6-10 hours,None,Sometimes,Yes,Positive,Always,Alone,Regularly during semester,Always,Sometimes,Sometimes,2.50-2.99,2.00-2.49,1,DD
STUDENT5,22-25,Male,Private,50%,No,No,Yes,USD 271-340,Bus,Other,High school,High school,2,Married,Housewife,Self-Employed,<5 hours,None,None,Yes,Positive,Always,With friends,Closest to exam date,Sometimes,Sometimes,Sometimes,2.00-2.49,2.00-2.49,1,DD
STUDENT6,22-25,Male,State,50%,No,No,No,USD 201-270,Bus,Rental,High school,High school,2,Married,Housewife,Private sector employee,None,None,Sometimes,Yes,Positive,Always,Alone,Closest to exam date,Never,Sometimes,Never,3.00-3.49,3.00-3.49,1,DC
STUDENT7,18-21,Male,State,75%,No,No,No,USD 135-200,Bus,With family,Primary school,High school,1,Married,Housewife,Self-Employed,<5 hours,Sometimes,Sometimes,No,Positive,Sometimes,Alone,Closest to exam date,Always,Always,Always,3.00-3.49,3.00-3.49,1,BB
STUDENT8,18-21,Female,State,50%,Yes,Yes,Yes,USD 201-270,Private Car/Taxi,With family,University,High school,1,Married,Private sector employee,Private sector employee,None,Sometimes,Sometimes,Yes,Positive,Always,N/A,Closest to exam date,Always,Sometimes,Sometimes,<2.00,<2.00,1,DC
STUDENT9,22-25,Female,Other,50%,No,Yes,Yes,USD 135-200,Bus,With family,Secondary school,University,2,Married,Housewife,Self-Employed,None,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest to exam date,Always,Sometimes,Sometimes,3.00-3.49,2.50-2.99,1,BB
STUDENT10,22-25,Female,State,50%,No,No,Yes,USD 271-340,Other,Dormitory,Primary school,Secondary school,3,Married,Housewife,Private sector employee,<5 hours,Sometimes,Sometimes,Yes,Positive,Sometimes,Alone,Closest to exam date,Sometimes,Sometimes,Sometimes,<2.00,2.00-2.49,1,Fail
STUDENT11,18-21,Female,Private,50%,No,No,No,USD 271-340,Private Car/Taxi,With family,High school,University,2,Married,Government officer,Government Officer,None,None,None,Yes,Positive,Sometimes,Alone,Closest to exam date,Sometimes,Sometimes,Sometimes,<2.00,<2.00,1,DC
STUDENT12,18-21,Female,Private,75%,Yes,Yes,No,USD 341-410,Private Car/Taxi,With family,MSc.,MSc.,1,Married,Government officer,Government Officer,6-10 hours,Often,Often,Yes,Neutral,Always,N/A,Regularly during semester,Always,Never,Always,3.00-3.49,2.50-2.99,1,Fail
STUDENT13,18-21,Female,Private,75%,No,No,No,USD 135-200,Bus,Rental,High school,MSc.,4,Divorced,Housewife,Government Officer,6-10 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest to exam date,Sometimes,Sometimes,Sometimes,3.00-3.49,2.00-2.49,1,Fail
STUDENT14,22-25,Female,State,100%,No,No,No,USD 135-200,Bus,Rental,Secondary school,Secondary school,2,Married,Housewife,Private sector employee,None,Sometimes,None,Yes,Positive,Sometimes,Alone,Closest to exam date,Always,Sometimes,Always,3.00-3.49,2.00-2.49,1,DD
STUDENT15,26+,Male,State,75%,Yes,Yes,No,USD 271-340,Other,Dormitory,High school,Primary school,2,Married,Private sector employee,Retired,<5 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest to exam date,Sometimes,Always,Sometimes,3.00-3.49,3.00-3.49,1,DC
STUDENT16,22-25,Male,State,50%,No,No,No,USD 135-200,Bus,Dormitory,University,University,2,Married,Government officer,Retired,<5 hours,Sometimes,Sometimes,No,Neutral,Sometimes,Alone,Closest to exam date,Always,Sometimes,Sometimes,2.00-2.49,2.00-2.49,1,DC
STUDENT17,18-21,Female,State,100%,No,Yes,No,USD 135-200,Bus,Rental,Secondary school,Secondary school,4,Married,Housewife,Private sector employee,<5 hours,Sometimes,Sometimes,Yes,Positive,Sometimes,Alone,Closest to exam date,Always,Sometimes,Always,3.00-3.49,2.50-2.99,1,DD
STUDENT18,22-25,Male,State,50%,No,No,No,USD 135-200,Bus,Rental,Secondary school,Secondary school,2,Married,Housewife,Retired,<5 hours,Sometimes,Sometimes,No,Positive,Sometimes,Alone,Closest to exam date,Sometimes,Sometimes,Sometimes,2.00-2.49,2.00-2.49,1,DC
STUDENT19,18-21,Female,State,75%,No,No,No,USD 271-340,Bus,Rental,Secondary school,Secondary school,5,Married,Housewife,Other,20+ hours,Often,Sometimes,No,Positive,Sometimes,Alone,Closest to exam date,Always,Never,Always,2.50-2.99,2.50-2.99,1,DC
